Naive algorithm First Binary 0 ? replaces;Naive algorithm First Binary 1 ? replaces;Naive algorithm First Binary 2 ? replaces;Naive algorithm First Binary 3 ? replaces;Naive algorithm First Binary 4 ? replaces;Naive algorithm First DNA 0 ? replaces;Naive algorithm First DNA 1 ? replaces;Naive algorithm First DNA 2 ? replaces;Naive algorithm First DNA 3 ? replaces;Naive algorithm First DNA 4 ? replaces;Naive algorithm Second Binary 0 ? replaces;Naive algorithm Second Binary 1 ? replaces;Naive algorithm Second Binary 2 ? replaces;Naive algorithm Second Binary 3 ? replaces;Naive algorithm Second Binary 4 ? replaces;Naive algorithm Second DNA 0 ? replaces;Naive algorithm Second DNA 1 ? replaces;Naive algorithm Second DNA 2 ? replaces;Naive algorithm Second DNA 3 ? replaces;Naive algorithm Second DNA 4 ? replaces;Template size;
964531;915358;877813;832737;804700;864076;850344;778280;758190;732907;9772574;9230771;8748390;8401095;7984122;8650383;8357621;7872829;7987420;7326469;100;
1831736;1846983;1827287;1789634;1844474;1622691;1631221;1637657;1649075;1611243;18112184;18480936;18289674;18270090;18224870;16267985;15966545;16568499;17016821;16098872;200;
2854010;2764006;2801367;2845383;2806103;2372736;2440954;2389027;2507320;2547015;26482324;26744442;26735006;27622543;28148858;23721262;24127959;23497113;23920373;24926566;300;
3594501;3681623;3665326;3678228;3657656;3125980;3185914;3198115;3238492;3161758;35086730;35299435;36431329;36700426;37635358;31297121;31034434;32242063;31908126;33225057;400;
4337162;4380042;4499686;4460431;4524267;3864094;3896960;3939061;3991756;3960494;43823718;44864353;45586964;45179248;45587630;38653813;39046123;39104716;39449303;40618664;500;
5167298;5252469;5303756;5217218;5342018;4600197;4586746;4719585;4759065;4712376;52260490;52683407;53605237;54065597;54850913;46052188;46055014;46997867;47461299;48030100;600;
5990077;6033781;6139786;6227384;6272327;5372774;5399342;5447229;5473756;5522544;61022750;61471928;62199777;62764569;63665024;53730862;54320506;54202956;53835857;54657479;700;
6835466;6989634;6951178;7070202;7125893;6083983;6156866;6108963;6199162;6125803;69328552;69824998;70577423;69781847;71839754;61230300;61637698;62188574;62807910;63145303;800;
7690675;7756610;7876285;7873198;8025072;6849177;6887925;6915768;6946662;6870010;77338378;78287948;79699630;79756579;80371051;68672204;69002803;69654031;69468354;70255882;900;
8588707;8770431;8709616;8721341;8930447;7551564;7585408;7682498;7685032;7721548;86123028;86674314;87584440;88198425;88673658;77323683;77916738;77984363;78154424;78977520;1000;
